iShares Russell 2000 ETF
Fund Holdings as of,"Sep 14, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"277,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RDN","RADIAN GROUP","Financials","Equity","128,600,438.85","0.16","128,600,438.85","3,587,181.00","35.85","United States","NYSE","USD","1.00","USD","-"
"CRSP","CRISPR THERAPEUTICS AG","Health Care","Equity","128,562,624.32","0.16","128,562,624.32","2,427,542.00","52.96","United States","NASDAQ","USD","1.00","USD","-"
"CNX","CNX RESOURCES","Energy","Equity","127,995,695.52","0.16","127,995,695.52","3,613,656.00","35.42","United States","NYSE","USD","1.00","USD","-"
"CNR","CORE NATURAL RESOURCES","Energy","Equity","127,692,162.90","0.16","127,692,162.90","1,325,983.00","96.30","United States","NYSE","USD","1.00","USD","-"
"AX","AXOS FINANCIAL","Financials","Equity","127,509,843.75","0.16","127,509,843.75","1,360,105.00","93.75","United States","NYSE","USD","1.00","USD","-"
"ORKA","ORUKA THERAPEUTICS INC","Health Care","Equity","126,194,380.12","0.16","126,194,380.12","1,315,484.00","95.93","United States","NASDAQ","USD","1.00","USD","-"
"SR","SPIRE INC","Utilities","Equity","125,784,919.44","0.16","125,784,919.44","1,546,029.00","81.36","United States","NYSE","USD","1.00","USD","-"
"BOX","BOX INC CLASS A","Information Technology","Equity","125,711,574.24","0.16","125,711,574.24","3,606,184.00","34.86","United States","NYSE","USD","1.00","USD","-"
"AIR","AAR","Industrials","Equity","125,064,640.88","0.16","125,064,640.88","1,041,511.00","120.08","United States","NYSE","USD","1.00","USD","-"
"IBP","INSTALLED BUILDING PRODUCTS","Consumer Discretionary","Equity","124,662,914.30","0.16","124,662,914.30","622,381.00","200.30","United States","NYSE","USD","1.00","USD","-"
"HASI","HA SUSTAINABLE INFRASTRUCTURE CAPI","Financials","Equity","124,585,401.48","0.16","124,585,401.48","3,381,797.00","36.84","United States","NYSE","USD","1.00","USD","-"
"CSW","CSW INDUSTRIALS","Industrials","Equity","123,758,899.74","0.16","123,758,899.74","422,198.00","293.13","United States","NYSE","USD","1.00","USD","-"
"VCTR","VICTORY CAPITAL HOLDINGS CLASS A","Financials","Equity","123,645,016.08","0.16","123,645,016.08","1,133,526.00","109.08","United States","NASDAQ","USD","1.00","USD","-"
"PRM","PERIMETER SOLUTIONS","Materials","Equity","123,445,162.68","0.16","123,445,162.68","3,955,308.00","31.21","United States","NYSE","USD","1.00","USD","-"
"WHD","CACTUS CLASS A","Energy","Equity","123,124,792.48","0.15","123,124,792.48","1,836,587.00","67.04","United States","NYSE","USD","1.00","USD","-"
"HRI","HERC HOLDINGS","Industrials","Equity","122,689,447.44","0.15","122,689,447.44","873,732.00","140.42","United States","NYSE","USD","1.00","USD","-"
"NSIT","INSIGHT ENTERPRISES INC","Information Technology","Equity","122,403,638.00","0.15","122,403,638.00","756,325.00","161.84","United States","NASDAQ","USD","1.00","USD","-"
"OII","OCEANEERING INTERNATIONAL INC","Energy","Equity","122,310,000.48","0.15","122,310,000.48","2,626,933.00","46.56","United States","NYSE","USD","1.00","USD","-"
"VAL","VALARIS LTD","Energy","Equity","121,936,614.03","0.15","121,936,614.03","1,500,389.00","81.27","United States","NYSE","USD","1.00","USD","-"
"ROAD","CONSTRUCTION PARTNERS CLASS A","Industrials","Equity","121,893,301.09","0.15","121,893,301.09","1,257,799.00","96.91","United States","NASDAQ","USD","1.00","USD","-"
"UFPI","UFP INDUSTRIES","Industrials","Equity","121,665,167.49","0.15","121,665,167.49","1,501,483.00","81.03","United States","NASDAQ","USD","1.00","USD","-"
"SKY","CHAMPION HOMES INC","Consumer Discretionary","Equity","121,363,046.88","0.15","121,363,046.88","1,448,938.00","83.76","United States","NYSE","USD","1.00","USD","-"
"OUT","OUTFRONT MEDIA","Real Estate","Equity","121,350,760.00","0.15","121,350,760.00","4,220,896.00","28.75","United States","NYSE","USD","1.00","USD","-"
"GTX","GARRETT MOTION","Consumer Discretionary","Equity","120,397,562.25","0.15","120,397,562.25","4,594,450.00","26.20","United States","NASDAQ","USD","1.00","USD","-"
"BGC","BGC GROUP INC CLASS A","Financials","Equity","120,040,212.48","0.15","120,040,212.48","9,871,728.00","12.16","United States","NASDAQ","USD","1.00","USD","-"
"LQDA","LIQUIDIA","Health Care","Equity","120,002,574.16","0.15","120,002,574.16","1,837,571.00","65.31","United States","NASDAQ","USD","1.00","USD","-"
"MIRM","MIRUM PHARMACEUTICALS","Health Care","Equity","119,554,749.00","0.15","119,554,749.00","1,235,708.00","96.75","United States","NASDAQ","USD","1.00","USD","-"
"BCO","BRINKS","Industrials","Equity","119,208,962.24","0.15","119,208,962.24","1,090,858.00","109.28","United States","NYSE","USD","1.00","USD","-"
"MRCY","MERCURY SYSTEMS INC","Industrials","Equity","118,905,609.81","0.15","118,905,609.81","1,467,427.00","81.03","United States","NASDAQ","USD","1.00","USD","-"
"DK","DELEK US HOLDINGS INC","Energy","Equity","118,799,086.67","0.15","118,799,086.67","1,595,261.00","74.47","United States","NYSE","USD","1.00","USD","-"
"EBC","EASTERN BANKSHARES INC","Financials","Equity","118,066,384.80","0.15","118,066,384.80","5,405,970.00","21.84","United States","NASDAQ","USD","1.00","USD","-"
"LIVN","LIVANOVA PLC","Health Care","Equity","117,963,867.01","0.15","117,963,867.01","1,463,027.00","80.63","United States","NASDAQ","USD","1.00","USD","-"
"BIPC","BROOKFIELD INFRASTRUCTURE CORP CLA","Utilities","Equity","117,730,417.86","0.15","117,730,417.86","3,286,723.00","35.82","Canada","NYSE","USD","1.00","USD","-"
"ASB","ASSOCIATED BANCORP","Financials","Equity","117,485,039.04","0.15","117,485,039.04","3,924,016.00","29.94","United States","NYSE","USD","1.00","USD","-"
"RUSHA","RUSH ENTERPRISES CLASS A","Industrials","Equity","117,279,414.84","0.15","117,279,414.84","2,411,668.00","48.63","United States","NASDAQ","USD","1.00","USD","-"
"FFIN","FIRST FINANCIAL BANKSHARES INC","Financials","Equity","116,899,853.28","0.15","116,899,853.28","3,514,728.00","33.26","United States","NASDAQ","USD","1.00","USD","-"
"URBN","URBAN OUTFITTERS","Consumer Discretionary","Equity","116,691,173.73","0.15","116,691,173.73","1,515,273.00","77.01","United States","NASDAQ","USD","1.00","USD","-"
"INSW","INTERNATIONAL SEAWAYS","Energy","Equity","116,541,376.56","0.15","116,541,376.56","1,101,109.00","105.84","United States","NYSE","USD","1.00","USD","-"
"MARA","MARA HOLDINGS","Information Technology","Equity","116,501,049.00","0.15","116,501,049.00","10,130,526.00","11.50","United States","NASDAQ","USD","1.00","USD","-"
